rel_path,subject,ext,state,output_ref,tool,note,updated_at
02-【数学】2027版高中《解题觉醒》/数学解题觉醒-第2册 名师大招册.pdf,MATH,.pdf,PENDING_SCANNED,,init,扫描件，需视觉转写,2026-09-18 01:39:25
02-【数学】2027版高中《解题觉醒》/数学解题觉醒-第3册 大招解析册.pdf,MATH,.pdf,PENDING_SCANNED,,init,扫描件，需视觉转写,2026-09-18 01:39:25
02-【数学】2027版高中《解题觉醒》/考前急救图.pdf,MATH,.pdf,PENDING_SCANNED,,init,扫描件，需视觉转写,2026-09-18 01:39:25
04-【物理】2027版高中《解题觉醒》/物理要点觉醒.pdf,PHYSICS,.pdf,PENDING_SCANNED,,init,扫描件，需视觉转写,2026-09-18 01:39:25
04-【物理】2027版高中《解题觉醒》/物理解题觉醒-第2册 名师大招册.pdf,PHYSICS,.pdf,PENDING_SCANNED,,init,扫描件，需视觉转写,2026-09-18 01:39:25
04-【物理】2027版高中《解题觉醒》/物理解题觉醒-第3册 大招解析册.pdf,PHYSICS,.pdf,PENDING_SCANNED,,init,扫描件，需视觉转写,2026-09-18 01:39:25
05-【化学】2027版高中《解题觉醒》/化学要点觉醒图示.pdf,CHEMISTRY,.pdf,PENDING_SCANNED,,init,扫描件，需视觉转写,2026-09-18 01:39:25
05-【化学】2027版高中《解题觉醒》/化学解题觉醒-第1册 主书.pdf,CHEMISTRY,.pdf,PENDING_SCANNED,,init,扫描件，需视觉转写,2026-09-18 01:39:25
05-【化学】2027版高中《解题觉醒》/化学解题觉醒-第2册 名师大招册.pdf,CHEMISTRY,.pdf,PENDING_SCANNED,,init,扫描件，需视觉转写,2026-09-18 01:39:25
05-【化学】2027版高中《解题觉醒》/化学解题觉醒-第3册 大招解析册.pdf,CHEMISTRY,.pdf,PENDING_SCANNED,,init,扫描件，需视觉转写,2026-09-18 01:39:25
06-【生物】2027版高中《解题觉醒》/生物要点觉醒.pdf,BIOLOGY,.pdf,PENDING_SCANNED,,init,扫描件，需视觉转写,2026-09-18 01:39:25
06-【生物】2027版高中《解题觉醒》/生物解题觉醒-第1册 主书.pdf,BIOLOGY,.pdf,PENDING_SCANNED,,init,扫描件，需视觉转写,2026-09-18 01:39:25
06-【生物】2027版高中《解题觉醒》/生物解题觉醒-第2册 名师大招册.pdf,BIOLOGY,.pdf,PENDING_SCANNED,,init,扫描件，需视觉转写,2026-09-18 01:39:25
06-【生物】2027版高中《解题觉醒》/生物解题觉醒-第3册 大招解析册.pdf,BIOLOGY,.pdf,PENDING_SCANNED,,init,扫描件，需视觉转写,2026-09-18 01:39:25
2026年新高考资料/一轮复习/2026年体育单招数学零基础一轮总复习/资料/1.1集合的概念（讲义）（学生版）.docx,MATH,.docx,EXTRACTED,"ext-mat-9a51501f22-001,ext-mat-9a51501f22-003,ext-mat-9a51501f22-005,ext-mat-9a51501f22-004,ext-mat-9a51501f22-002",materialize,回滚：sidecar 未写成功,2026-09-18 02:27:29
2026年新高考资料/一轮复习/2026年体育单招数学零基础一轮总复习/资料/1.1集合的概念（讲义）（教师版）.docx,MATH,.docx,PENDING,,init,,2026-09-18 01:39:25
2026年新高考资料/一轮复习/2026年体育单招数学零基础一轮总复习/资料/1.2集合间的基本关系（讲义）（学生版）.docx,MATH,.docx,EXTRACTED,"ext-mat-43995b893f-001,ext-mat-43995b893f-002,ext-mat-43995b893f-003",materialize,,2026-09-18 02:27:30
2026年新高考资料/一轮复习/2026年体育单招数学零基础一轮总复习/资料/1.2集合间的基本关系（讲义）（教师版）.docx,MATH,.docx,PENDING,,init,,2026-09-18 01:39:25
